First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
Zdeno,Chara,41,player[12],D,4,15,1,9,129,144
Marian,Gaborik,36,player[12],R,15,12,5,-5,142,34
Ron,Hainsey,37,player[12],D,1,12,0,-2,74,97
Brooks,Orpik,38,player[12],D,0,5,0,-2,43,204
Justin,Williams,37,player[12],R,17,26,11,3,165,67
Niklas,Kronwall,37,player[12],D,1,19,7,-4,71,92
Deryk,Engelland,36,player[12],D,2,11,0,-1,94,129
Dan,Hamhuis,36,player[12],D,1,14,0,0,67,90
Chris,Thorburn,35,player[12],R,4,1,0,-1,37,152
Jason,Pominville,36,player[12],R,15,21,6,1,150,45
Trevor,Daley,35,player[12],D,4,11,0,-1,106,41
Jay,Bouwmeester,35,player[12],D,2,9,0,1,95,77
Johnny,Boychuk,34,player[12],D,5,14,2,-3,176,156
Duncan,Keith,35,player[12],D,4,33,11,0,160,42
Jonathan,Ericsson,34,player[12],D,1,8,0,0,74,133
Ryan,Suter,33,player[12],D,7,37,17,2,156,76
Braydon,Coburn,33,player[12],D,2,9,0,1,80,98
Dion,Phaneuf,33,player[12],D,3,20,7,-8,136,154
Dustin,Brown,34,player[12],R,21,27,12,1,199,176
Brent,Seabrook,33,player[12],D,6,26,10,0,133,90
Brent,Burns,33,player[12],D,17,48,26,-3,306,69
Corey,Perry,33,player[12],R,20,28,14,-6,184,68
Shea,Weber,33,player[12],D,13,24,15,2,208,175
David,Backes,34,player[12],R,19,23,9,3,189,186
Marc,Methot,33,player[12],D,0,5,0,3,62,167
Dustin,Byfuglien,33,player[12],D,9,34,18,3,219,160
Mark,Giordano,35,player[12],D,12,27,12,7,185,85
Blake,Wheeler,32,player[12],R,24,54,30,1,238,80
Drew,Stafford,33,player[12],R,13,11,3,-6,133,99
Alexander,Radulov,32,player[12],R,22,41,18,0,194,70
Mike,Green,33,player[12],D,8,26,11,-5,149,93
Alex,Goligoski,33,player[12],D,7,25,7,-10,124,114
Andrej,Sekera,32,player[12],D,3,18,5,-1,97,66
Alexander,Edler,32,player[12],D,6,23,9,-8,179,161
Ryan,Callahan,33,player[12],R,8,14,2,-2,114,161
Roman,Polak,32,player[12],D,0,11,0,2,74,202
Troy,Brouwer,33,player[12],R,9,15,4,1,83,138
